lag,step_autocorr,sigma_significance
1,-0.032782,168.3
2,0.004605,23.6
3,-0.000012,0.1
4,0.000123,0.6
5,0.000186,1.0
6,-0.000000,0.0
7,-0.000238,1.2
8,-0.000055,0.3
