g_lo,g_hi,E_next_g,n
0.00,0.50,1.04212,8381238
0.50,1.00,0.99645,7955250
1.00,1.50,0.97521,4220823
1.50,2.00,0.97314,2675685
2.00,2.50,0.96212,1430229
2.50,3.00,0.94907,739783
3.00,4.00,0.94405,681217
4.00,10.00,0.93609,271504
