win_lo,win_hi,n,P_same,first_order_bias,P_W_after_W,P_W_after_S,second_order_signal
10000,100000,8363,0.40440,-0.09560,0.56945,0.63413,-0.06468
100000,1000000,68906,0.42040,-0.07960,0.55958,0.60720,-0.04762
1000000,10000000,586081,0.43200,-0.06800,0.55000,0.59166,-0.04166
10000000,100000000,5096876,0.43998,-0.06002,0.54439,0.57992,-0.03553
100000000,300000000,10490870,0.44387,-0.05613,0.54174,0.57416,-0.03242
300000000,500000000,10103541,0.44558,-0.05442,0.54050,0.57173,-0.03123
